,text
0,"No está disponible, al parecer la están remodelando, no hay ni cajero"
1,"Por mucho una sucursal aparentemente pequeña, el éxito es que somos clientes personas , no hay tumultos y los ejecutivos, cajeros y personal muy amable y cordial con los cuenta habiente , siempre dan soluciones positivas y casi no hay empresas , muy personalizado"
2,"Muy buen servicio, me atendieron rápido"
3,Excelente servicio
4,"2 estrellas por la parte ejecutiva porque atienden súper mal osea quieren hacerlo todo súper rápido y por hacerlo rápido lo hacen mal.   Fui ya 3 veces a cancelar una cuenta porque me abren la que no es y todo por hacerlo rápido.

Sin embargo el personal es muy agradable, sólo por eso no les doy una estrella."
5,Excelente trato y apoyo
6,"Sucursal pequeña pero organizada, atención rápida empezando con la Sra del estacionamiento!!"
7,"EXCELENTE ATENCION, MUY TRANQUILO, CASI VACIO"
8,Cuenta con estacionamiento limitado
9,Esta cerrado hace 15 dias aparentemente. Ni en la web ni aqui aparece cerrado. Fui a perder mi tiempo.
10,"(Traducción de Google) He estado aquí un par de veces y siempre brindan el peor servicio al cliente, tuve que ir esta vez porque tenía problemas con mi aplicación y recibí un aviso para ir a este lugar después de 45 minutos de espera (los…"
18,Hoy 28 de agosto del 2020 esta cerrada la sucursal. No funcionan las practicajas y al parecer tampoco los cajeros automáticos. Tengan cuidado. Solo hay un cartelito en la entrada que no dice cuando abren ni nada.
19,"Pasé sin problema, no lo frecuento."
20,"Una sucursal que la jefa de cajas zoe los amenaza con los empleados. salen temprano si hicieron un cliente nuevo, si no hasta las 7 p.m. pueden hacer eso? Abuso es?"
21,"buena atención en las cajas

los cajeros están descompuestos con mucha frecuencia, la última vez que los usé se ""tragó"" mi dinero y no se hizo el abono en mi tarjeta, tuve que tramitar una queja....... si recuperé el dinero que deposité pronto"
22,"60 minutitos para ser atendidos. Muy lentos los Ejecutivos de Venta, solo 2 para tanta gente que entra a la sucursal por ayuda de ellos. En promedio 1 de cada 5 es atendido, los 4 se van por todo el tiempo que tiene que esperar."
23,"La semana pasada realicé el pago de mi teléfono, el cajero me marcó que no estaba dando ticket, me regresó mi cambio y ahorita resulta que no procedió mi pago y no tengo con que comprobar ni a Bancomer que su cajero se quedó con mi dinero ni a Telmex que si pagué"
24,Sucursal muy amplia y cajeros eficientes
25,"Me gusta esta sucursal, ya que es muy grande y las personas que me atendieron son muy amables y trabajan rápido.

Las personas son buenas en lo que hacen, y si necesitas ayuda, están dispuestos a apoyarte.

Son lindos y amables, recomiendo esta sucursal al mil."
26,"La atención varía mucho dependiendo del ejecutivo que te atiende. Una ejecutiva que me ha atendido varias veces siempre me resuelve rápido y muy amablemente, pero hoy me tocó otra que no sabía ni de lo que le hablaba."
27,Atención muy buena aunque algo  lenta
28,"Servicio a cliente muy bueno, apoyan amablemente en los cajeros automáticos."
29,"He utilizado solo el servicio de practicaja del cual tienen 3 cajas y solo una vez me quedaron mal ... En el sentido que no recibió mi dinero y lo intente varias veces, entre semana hay alguna persona que te auxilia. Buen servicio."
30,"La atención es excelente sobretodo los tiempos de espera y atención  en sucursal son óptimos, los cajeros y practicajas siempre disponible"
31,"Pésimo servicio no sólo ésta sucursal. Casi en todas las sucursales es lo mismo no se si es falta de personal, es personal inepto y grosero y para rematar falta de servicio x fallas del sistema. En resumen NEFASTOS!!!!"
32,"Sucursal muy bien ubicada, hace esquina con Av Col. del Valle, Concepción Béistegui y Av. Coyoacán. Como todos los bancos días de quincena e inicio de semana para pagar o retirar dinero dentro de la sucursal todo es super lento. Tienen 3…"
33,"Me gusta mucho esta sucursal, siempre lo he dicho este banco es el mejor"
34,"Sólo he usado este banco para el servicio de cajeros y cuenta con 3 cajeros exprés y 3 cajeros normales.

En casi cualquier horario, en no quincena, hay muy poca gente, pero las quincenas hay hasta filas saliendo hacia la calle, lo bueno es…"
35,Tardan mucho sus ejecutivos en atender y muy lentos siendo que uno es tarjetabiente
36,Desde el cambio de gerencia y de imagen es una gran sucursal
37,Es buena sucursal solo que son muy lentos
38,Regular atencion y la ubicacion por falta de lugar de estacionamiento es complicado
39,"Pésima atención, hacen esperar demasiado a uno aunque haya más asesores disponibles en las ventanillas!"
40,Atención rápida
41,Pésimo servicio . Los ejecutivos no están bien capacitados
42,Es el peor banco que ocupado de Bancomer la directora Martha pésimo servicio y lento muy mal
43,"El servicio en ventanilla es algo tardado, confluyen muchos clientes, sobretodo en la tarde, y no siempre están atendiendo en todas las ventanillas."
57,El banco es pequeño pero no hay muchas personas para quien pase de manera express.
58,"Por que no ponen sus horarios de apertura y de cierre? El día de hoy fui y resulta que esta cerrado.

Podrían poner sus horarios o minimo un anuncio de si abrirán o no. Por favor"
59,"Laura Hernández me corrió de sucursal a las 4:30 y me dijo que ahí no podían desbloquear mi app que era x línea Bancomer en 48hrs( me hicieron un cargo indebido x Wallet) a pesar de que le dije que x teléfono y en la misma app, decía que…"
60,"La gerente trata de obtener ""ventas"" de servicios de tarjetas con actividad empresarial por el monto de $12,000, cundo lo que se le pide es la creación de una cuenta básica por una apertura de $1000. Es muy déspota y cree tener la razón ,…"
61,Cerrado temporalmente por contingencia. Estacionamiento y cajeros funcionando normalmente.
62,Cajeros sin dinero
63,"pesimo servicio la gerente es déspota y culera, te atiende de malas y les hace firmar sin enseñarles el contrato después  los creditos los aplaza a mas tiempo para que suban los intereses  y ella gane mejor comisión, si vas a aclarar se enoja y te dice que ya ni modo que solo pagues la deuda total ya que  no puede hacer nada."
64,Pesimo servicio tardan horas en atender
65,"Las instalaciones de primera y los servicios del banco de lujo , pero deja mucho de que hablar el trato de los empleados, tardan horas en atender al cliente y ellos pueden estar sin hacer nada"
66,"Los cajeros de todos los Bancomer, deberían ser como los de este banco."
67,Pésima atención
68,Pésimo servicio. Eviten esta sucursal.
69,La peor experiencia en servicio bancario que he tenido nunca. La espera para ser atendido por un ejecutivo es de hora y media.
